"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Rachid Kaddour;130005258;Quand le grand ensemble devient patrimoine : Réflexions sur le devenir d'un héritage du logement social et la fabrication du patrimoine à partir de cas exemplaires en région stéphanoise.;Georges Gay,Jacqueline Bayon;Gay Georges,Bayon Jacqueline;115222863,112641822;Saint-Etienne;028209966;Géographie;soutenue;;13-05-2013;fr;2013STET2168;oui;23-04-2012;25-01-2018;
Mélanie Bertrand;178637238;Approches régionales de la susceptibilité torrentielle dans les Alpes du Sud;Hervé Piégay;Piégay Hervé;07033174X;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;20-05-2014;en;2014ENSL0895;oui;26-09-2011;25-01-2018;
Mouayad Kanaan;183340159;Les quartiers non-réglementaires de l'agglomération de Damas : entre les projets urbains et les initiatives des habitants;Jacques Bonnet,Eric Verdeil;Bonnet Jacques,Verdeil Eric;028954327,061641251;Lyon 3;026404494;Géographie;soutenue;;19-11-2014;fr;2014LYO30065;non;26-09-2011;25-01-2018;
Fabien Mazenod;181364131;Fabriquer la Rome fasciste. L'action de l'Istituto Nazionale delle Assicurazioni (INA). Investisseur immobilier et financeur de l'aménagement urbain.;Bernard Gauthiez;Gauthiez Bernard;052210634;Lyon 3;026404494;Géographie;soutenue;;29-09-2014;fr;2014LYO30042;oui;26-09-2011;25-01-2018;
Robert Moutard;085691569;Les paysages des Bornes-Aravis (Haute-Savoie) : évolution des dynamiques territoriales, enjeux pour le tourisme;Henri Rougier;Rougier Henri;02711144X;Lyon 3;026404494;Géographie;soutenue;;14-10-2014;fr;2014LYO30058;oui;26-09-2011;25-01-2018;
Bertrand Morandi;180855123;La restauration des cours d'eau en France et à l'étranger : de la définition du concept à l'évaluation de l'action. Eléments de recherche applicables;Hervé Piégay;Piégay Hervé;07033174X;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;25-09-2014;fr;2014ENSL0932;oui;26-09-2011;25-01-2018;
Guillaume Sodezza;180671774;Vers un atlas morphogénétique de la vallée du Gier : caractérisation des éléments et structures matériels hérités;Bernard Gauthiez;Gauthiez Bernard;052210634;Lyon 3;026404494;Géographie;soutenue;;14-03-2014;fr;2014LYO30016;non;26-09-2011;25-01-2018;
Sandrine Tacon;191807478;Spatio-temporal analysis of braided river morphology with airborne LiDAR;Hervé Piégay;Piégay Hervé;07033174X;Lyon 2;02640334X;Geographie;soutenue;;11-09-2015;en;2015LYO20054;oui;18-11-2014;25-01-2018;
Raphael Languillon;191900818;Global Tokyo : ville mature, métropole renaissante;Philippe Pelletier;Pelletier Philippe;031242111;Lyon 2;02640334X;Geographie;soutenue;;29-06-2015;fr;2015LYO22008;oui;17-03-2015;25-01-2018;
Lucile Garcon;191760110;Réinventer les pommes et les pommes de terre : une géographie de la qualité à l’épreuve des produits ordinaires;Claire Delfosse;Delfosse Claire;072237465;Lyon 2;02640334X;Geographie;soutenue;;11-09-2015;fr;2015LYO20050;non;04-06-2015;25-01-2018;
Elsa Parrot;19388898X;Analyse spatio-temporelle de la morphologie du chenal du Rhône du Léman à la Méditerranée;Hervé Piégay;Piégay Hervé;07033174X;Lyon 3;026404494;Géographie;soutenue;;17-12-2015;fr;2015LYO30054;oui;26-09-2011;25-01-2018;
Berthe prudence Nlend (Pelanken);194043738;Dynamiques paysannes, construction sociale du genre et gestion des ressources agricoles en pays Bamoun (Ouest-Cameroun);Hélène Guetat-Bernard;Guetat-Bernard Hélène;085784524;Lyon 3;026404494;Géographie;soutenue;;15-06-2015;fr;2015LYO30018;non;26-09-2011;25-01-2018;
Chloë Vidal-Kratochvil;186143184;La prospective territoriale dans tous ses états. Rationalités, savoirs et pratiques de la prospective (1957 - 2014);Michel Lussault,Jean-Jacques Wunenburger;Lussault Michel,Wunenburger Jean-Jacques;033788979,027200248;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;05-06-2015;fr;2015ENSL0992;non;26-09-2011;25-01-2018;
Clotilde Lebreton;190400099;Gouvernance(s) sur un volcan. Controverses, arrangements et reconfigurations autour des instruments participatifs d'une aire naturelle protégée mexicaine (le Nevado de Toluca);Paul Arnould,Jacques Imbernon;Arnould Paul,Imbernon Jacques;034781951,127472711;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;18-12-2015;fr;2015ENSL1066;oui;03-12-2012;25-01-2018;
Fleur Guy;191580422;La mobilité des adolescents en situation de placement (Rhône) : l'espace, enjeu d'une action sociale et action sociale;Lydia Coudroy de Lille,Sandrine Depeau;Coudroy de Lille Lydia,Depeau Sandrine;074789295,079104991;Lyon 2;02640334X;Geographie;soutenue;;30-11-2015;fr;2015LYO20110;non;25-05-2012;25-01-2018;
Aurore Navarro;191716324;Le marché de plein vent alimentaire et la fabrique des lieux : un commerce de proximité multifonctionnel au coeur de la recomposition des territoires;Claire Delfosse;Delfosse Claire;072237465;Lyon 2;02640334X;Geographie;soutenue;;19-11-2015;fr;2015LYO20108;non;24-09-2015;25-01-2018;
Arie Fitria;19512216X;Services urbains, urbanisme et aménagement : analyse géopolitique des relations entre une communauté urbaine et les collectivités voisines : le cas du Grand Lyon;Eric Charmes,Laurette Wittner;Charmes Eric,Wittner Laurette;07610558X,03466680X;Lyon;190915757;Géographie;soutenue;;11-03-2016;fr;2016LYSE2026;oui;17-12-2015;25-01-2018;
Aurore Meyfroidt;197073182;Le tiers secteur du logement dans la région métropolitaine Vienne-Bratislava. Recompositions d’une offre de logement abordable et fabrique métropolitaine;Lydia Coudroy de Lille,Heinz Faßmann;Coudroy de Lille Lydia,Faßmann Heinz;074789295,032341938;Lyon;190915757;Géographie;soutenue;;07-12-2016;fr;2016LYSEN037;oui;04-12-2012;25-01-2018;
Alfonso Pinto;19716739X;Une archéologie du présent. Les espaces urbains dans le cinéma-catastrophe;Michel Lussault;Lussault Michel;033788979;Lyon;190915757;Géographie;soutenue;;01-12-2016;fr;2016LYSEN050;oui;20-12-2012;25-01-2018;
Olivier Aghandoul Bassene;203022742;L'évolution des mangroves de la Basse Casamance au Sud du Sénégal au cours des 60 dernières années : surexploitation des ressources, pression urbaine, et tentatives de mise en place d'une gestion durable;Hervé Cubizolle,Boubou Aldiouma Sy;Cubizolle Hervé,Sy Boubou Aldiouma;03517742X,164289380;Lyon;190915757;Géographie;soutenue;;17-10-2016;fr;2016LYSES040;oui;02-06-2014;25-01-2018;
Arnaud Duranel;203046242;Hydrologie et modélisation hydrologique des tourbières acides du Massif Central (France);Hervé Cubizolle;Cubizolle Hervé;03517742X;Lyon;190915757;Geographie;soutenue;;23-03-2016;fr;2016LYSES012;oui;24-08-2015;25-01-2018;
Pierre Marie Luciani;19798794X;Pour une valorisation durable des espaces patrimoniaux de Corse;Henri Rougier;Rougier Henri;02711144X;Lyon;190915757;Géographie;soutenue;;28-09-2016;fr;2016LYSE3035;oui;26-09-2011;25-01-2018;
Yohan Fayet;18371878X;Les territoires face aux cancers rares. Création d’une typologie de qualité territoriale pour l’étude des inégalités géographiques face aux cancers;Jacques Bonnet;Bonnet Jacques;028954327;Lyon 3;026404494;Géographie;soutenue;;10-12-2014;fr;2014LYO30083;oui;26-09-2011;25-01-2018;
Christophe Meunier;129973424;Quand les albums parlent d'Espace. Espaces et spatialités dans les albums pour enfants;Michel Lussault;Lussault Michel;033788979;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;04-12-2014;fr;2014ENSL0964;oui;06-03-2012;25-01-2018;
Cam Thi Tran;223723150;Mise en tourisme du patrimoine culturel immatériel - Etude de la ville d'Hoi An, Viet Nam;Philippe Bachimon,Xuan Lan Vo Sang;Bachimon Philippe,Vo Sang Xuan Lan;030391202,186323379;Grenoble Alpes;184668794;Geographie;soutenue;;30-01-2017;fr;2017GREAH002;non;28-03-2017;25-01-2018;
Monica Castro;175363420;Au nom de la biodiversité : de la construction d’une norme internationale à son application au niveau local;Hubert Bernard;Bernard Hubert;175363528;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2013;fr;2013EHES0031;non;14-01-2014;25-01-2018;
Djamel Eddine Bouragba;223722782;La production urbaine dans le cas d'Alger : Quid du "Projet urbain" ?;Nadir Boumaza;Boumaza Nadir;033340730;Grenoble Alpes;184668794;Geographie;soutenue;;14-10-2016;fr;2016GREAH041;non;08-11-2013;31-01-2018;
Marie Gardent;180401483;Inventaire et retrait des glaciers dans les alpes françaises depuis la fin du Petit Age Glaciaire;Philippe Schoeneich,Philip Deline;Schoeneich Philippe,Deline Philip;050289764,095700714;Grenoble;030327202;Géographie;soutenue;;14-03-2014;fr;2014GRENA008;oui;08-11-2013;15-12-2015;
Laurent Boissier;155606700;La mortalité liée aux crues torrentielles dans le sud de la France : une approche de la vulnérabilité humaine face à l'inondation;Freddy Vinet;Vinet Freddy;052599450;Montpellier 3;026404702;Géographie;soutenue;;13-12-2013;fr;2013MON30033;non;26-09-2011;19-07-2017;
Lise Debout;119556154;Gouvernements urbains en régime autoritaire : le cas de la gestion des déchets en Egypte;Franck Scherrer,Eric Verdeil;Scherrer Franck,Verdeil Eric;08806008X,061641251;Lyon 2;02640334X;Géographie;soutenue;;22-11-2012;fr;2012LYO20080;non;26-09-2011;25-01-2018;
Sébastien Farau;192777343;Les savoirs écologiques des chasseurs de gibier d'eau girondins : étude de leur validité pour une gestion de l'avifaune des zones humides;Yves Poinsot;Poinsot Yves;113643152;Pau;026403668;Géographie;soutenue;;29-02-2016;fr;2016PAUU3004;oui;26-09-2011;28-04-2016;
Aude, Marie-Emilie Pottier;16972994X;La forêt des Landes de Gascogne comme patrimoine naturel? Echelles, enjeux, valeurs.;Vincent Berdoulay;Berdoulay Vincent;026719878;Pau;026403668;Géographie;soutenue;;08-12-2012;fr;2012PAUU1011;oui;26-09-2011;15-12-2015;
Vincent Marchal;176543163;Les transitions paysagères sur l'Autoroute du Soleil entre Beaune et Marseille;Jean-Pierre Husson;Husson Jean-Pierre;032649029;Université de Lorraine;157040569;Géographie;soutenue;;23-11-2013;fr;2013LORR0247;non;26-09-2011;25-02-2014;
Jérôme Pelenc;179042270;Développement humain responsable et aménagement du territoire. : Réflexions à partir de deux réserves de biosphère périurbaines en France et au Chili;Sébastien Velut;Velut Sébastien;060309776;Paris 3;027361837;Géographie;soutenue;;09-04-2014;fr;2014PA030042;non;26-09-2011;20-03-2017;
Inès Meliani;172018919;La nature en ville, entre protection, communication et patrimonialisation : approches géographiques dans les territoires du Grand Lyon;Paul Arnould;Arnould Paul;034781951;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;03-09-2013;fr;2013ENSL0829;non;26-09-2011;25-01-2018;
Elodie Magnier;176409696;Neige artificielle et ressource en eau en moyenne montagne : impacts sur l’hydrosysteme. Exemple des Préalpes du Nord (France, Suisse);Jean-Pierre Peulvast,Emmanuel Reynard;Peulvast Jean-Pierre,Reynard Emmanuel;05624486X,110335317;Paris 4;026403633;Géographie;soutenue;;13-11-2013;fr;2013PA040139;non;26-09-2011;03-04-2017;
Christelle Meha;176464425;Forêt et risque de santé publique : le cas de la borréliose de Lyme. Application à la forêt périurbaine de Sénart (Ile-de-France);Jean-Paul Amat,Vincent Godard;Amat Jean-Paul,Godard Vincent;029639204,130812056;Paris 4;026403633;Géographie;soutenue;;19-11-2013;fr;2013PA040125;oui;26-09-2011;03-04-2017;
Johanna Fusco;194117898;Analyse des dynamiques spatio-temporelles des systèmes de peuplement dans un contexte d'incertitude : Application à l'archéologie spatiale;Christine Voiron-Canicio,Frank Braemer;Voiron-Canicio Christine,Braemer Frank;029208270,051620766;Nice;026403498;Géographie;soutenue;;30-03-2016;fr;2016NICE2008;oui;06-01-2012;24-08-2017;
Sylvain Racaud;177221526;Les montagnes Uporoto entre ville et campagne, géographie de flux et integration territoriale en Tanzanie;Bernard Charlery de La Masselière;Charlery de La Masselière Bernard;035555920;Toulouse 2;026403994;Géographie;soutenue;;23-10-2013;fr;2013TOU20110;oui;02-02-2012;07-06-2016;
Caroline Dunesme;20477800X;La place de l'incertitude géographique dans la reconnaissance des espèces animales menacées - espaces, méthodes et acteurs.;Yves Poinsot;Poinsot Yves;113643152;Pau;026403668;Géographie;soutenue;;03-11-2016;fr;2016PAUU1015;non;20-02-2012;19-10-2017;
Nicolas Escach;182455831;Réseaux de villes et recompositions interterritoriales dans l'espace baltique;Lydia Coudroy de Lille,Boris Grésillon;Coudroy de Lille Lydia,Grésillon Boris;074789295,035642742;Lyon, Ecole normale supérieure;149154992;Géographie;soutenue;;14-11-2014;fr;2014ENSL0952;oui;24-04-2012;25-01-2018;
Karine Duplan;193713829;Devenir ‘expat’. Pratiques de l’espace du quotidien de femmes en situation de mobilité internationale à Luxembourg;Louis Dupont,Philippe Gerber;Dupont Louis,Gerber Philippe;076656977,069647003;Paris 4;026403633;Géographie;soutenue;;13-05-2016;fr;2016PA040057;non;26-10-2012;16-02-2017;
Isabelle Tritsch;170683893;Dynamiques territoriales et revendications identitaires des amérindiens Wayapi et Teko de la commune de Camopi (Guyane française);Bernard Thibaut;Thibaut Bernard;034206299;Antilles-Guyane;026603136;Géographie;soutenue;;27-05-2013;fr;2013AGUY0608;oui;16-07-2013;16-07-2013;
Carine Henriot;174098316;Villes nouvelles et redéploiement métropolitain à Shanghai : les nouvelles périphéries urbaines chinoises.;Thierry Sanjuan;Sanjuan Thierry;034936203;Paris 1;027361802;Geographie;soutenue;;28-11-2013;fr;2013PA010667;non;17-07-2013;20-10-2016;
Laurence Jolivet;200817833;Modélisation des déplacements d'animaux dans un espace géographique : analyse et simulation;Anne Ruas;Ruas Anne;067326498;Paris 1;027361802;Geographie;soutenue;;20-05-2014;fr;2014PA010524;oui;14-08-2013;01-06-2017;
Julie Charles-Dominé;170472523;Enjeux et dynamiques de l'information géographique dans la gouvernance des territoires urbains du sud-Bénin. : Le registre foncier urbain, un nouvel outil et ses pratiques à l'heure de la décentralisation.;Elisabeth Dorier-Apprill;Dorier-Apprill Elisabeth;052470539;Aix-Marseille;15863621X;Géographie;soutenue;;17-12-2012;fr;2012AIXM3100;oui;24-10-2013;25-10-2013;
Mathieu Gigot;174465408;Les dimensions territoriales des politiques du patrimoine urbain : instruments, enjeux et jeux d'acteurs dans trois villes du Val de Loire (Angers, Tours et Orléans);Patrice Melé;Melé Patrice;031368794;Tours;026404478;Géographie;soutenue;;11-12-2012;fr;2012TOUR1502;oui;30-01-2014;27-11-2015;
Marion Borderon;200470183;Entre distance géographique et distance sociale : le risque de paludisme-infection en milieu urbain africain : l'exemple de l'agglomération de Dakar, Sénégal;Sébastien Oliveau,Daniel Bley;Oliveau Sébastien,Bley Daniel;083227210,050125206;Aix-Marseille;15863621X;Géographie;soutenue;;02-02-2016;fr;2016AIXM3004;oui;26-04-2014;05-09-2017;
Gwenaëlle Audren;191363367;Géographie de la fragmentation urbaine et territoires scolaires à Marseille.;Elisabeth Dorier-Apprill,Virginie Baby-Collin;Dorier-Apprill Elisabeth,Baby-Collin Virginie;052470539,069558132;Aix-Marseille;15863621X;Géographie;soutenue;;23-03-2015;fr;2015AIXM3017;oui;26-04-2014;21-04-2016;
Ingrid Canovas;201434725;Modélisation de la montée vers un état critique de la situation de basses eaux sous forçages naturel et anthropique en région méditerranéenne;Philippe Martin,Sophie Sauvagnargues;Martin Philippe,Sauvagnargues Sophie;104484055,079872735;Avignon;026369044;Géographie;soutenue;;12-12-2016;fr;2016AVIG1166;oui;23-04-2015;07-12-2017;
Manon Kohler;188235809;Assessement of the building energy requirements : added value of the use of the urban climate modeling;Alain Clappier;Clappier Alain;177472200;Strasbourg;131056549;Géographie;soutenue;;08-06-2015;en;2015STRAH004;oui;23-09-2015;23-09-2015;
Marie-Myriam Mahabot;197174523;Suivi morphodynamique des plages récifales de La Réunion en contexte d'observatoire;Gwenaëlle Pennober,Serge Suanez;Pennober Gwenaëlle,Suanez Serge;117643963,094689512;La Réunion;026404451;Géographie;soutenue;;24-11-2016;fr;2016LARE0028;oui;16-12-2016;26-09-2017;
Damien Boulard, (Boulard);199526958;Capacité d'une chaine de modélisation hydroclimatique haute résolution à simuler des indices de déficit hydrique : application aux douglasaies et hêtraies de Bourgogne;Pierre Camberlin,Thierry Castel;Camberlin Pierre,Castel Thierry;113760167,199523304;Dijon;02819005X;Géographie;soutenue;;19-07-2016;fr;2016DIJOL002;oui;12-01-2017;16-06-2017;
Audrey Martinat;199174792;Erosion des sentiers en moyenne montagne auvergnate;Marie-Françoise André,Raphaël Paris;André Marie-Françoise,Paris Raphaël;028604350,169586650;Clermont-Ferrand 2;026403102;Geographie;soutenue;;17-12-2015;fr;2015CLF20025;oui;24-01-2018;02-02-2018;
Majid Shah-Hosseini;184417295;Geomorphic evolution and coastal hazards along the Iranian coast of Makran;Christophe Morhange;Morhange Christophe;034225676;Aix-Marseille;15863621X;Géographie;soutenue;;21-03-2014;enfr;2014AIXM3010;non;25-04-2014;09-02-2018;
Guénaëlle Bony;179771434;Contraintes et potentialités naturelles de quelques sites portuaires antiques de Méditerranée et de mer Noire (Fréjus, Ampurias, Kition, Istanbul, Orgamé);Christophe Morhange,Nick Marriner;Morhange Christophe,Marriner Nick;034225676,08754279X;Aix-Marseille;15863621X;Géographie;soutenue;;04-07-2013;fr;2013AIXM3039;non;26-04-2014;09-02-2018;
Anne-Éléonore Paquier;18812005X;Interactions de la dynamique hydro-sédimentaire avec les herbiers de phanérogames, Etang de Berre;Samuel Gaël Meulé,Edward Anthony;Meulé Samuel Gaël,Anthony Edward;11187789X,033452377;Aix-Marseille;15863621X;Géographie;soutenue;;27-11-2014;fren;2014AIXM3064;oui;26-04-2014;09-02-2018;
Elodie Brisset;185920594;Sensibilité des milieux de montagne aux forçages climatiques et anthropiques depuis 14 000 ans dans les Alpes du Sud : Approche multidisciplinaire (sédimentologie, géochimie, palynologie) et multi-sites (lac Petit, lac de Vens et lac d’Allos);Edward Anthony,Frédéric Guiter,Cécile Miramont;Anthony Edward,Guiter Frédéric,Miramont Cécile;033452377,081188331,07501727X;Aix-Marseille;15863621X;Géographie;soutenue;;06-05-2014;fr;2014AIXM3017;non;25-04-2014;09-02-2018;
Guillaume Brunier;197897010;Côtes sablo-vaseuses sous influence deltaïque de l'Amazone et du Mékong : dynamique morpho-sédimentaire, stabilité et aménagement;Edward Anthony;Anthony Edward;033452377;Aix-Marseille;15863621X;Géographie;soutenue;;11-12-2015;fr;2015AIXM3112;non;17-11-2015;09-02-2018;
Sterenn Ramond;194789233;Réponses hydrologiques de la Loire moyenne aux changements environnementaux. : formation des débits et fonctionnement d’une plaine alluviale : approches hydrologiques et géochimiques multi-scalaires;Emmanuèle Gautier,Christelle Marlin;Gautier Emmanuèle,Marlin Christelle;050339575,070959234;Paris 8;026403552;Geographie - Géographie physique;soutenue;;06-11-2015;fr;2015PA080102;oui;02-02-2016;01-09-2016;
Fekadu Gurmessa Kussa;187468273;The constraints of urban road passenger transport system in Addis-Ababa (Ethiopia);Alain Dubresson;Dubresson Alain;026840200;Paris 10;026403587;Géographie urbaine;soutenue;;01-01-2014;en;2014PA100043;non;24-07-2015;23-07-2015;
Emmanuelle Petit;168200414;Matérialisations du souvenir en montagne : les enjeux identitaires des places et des placements;Guy Di Méo;Di Méo Guy;028300858;Bordeaux 3;027548392;Géographie humaine;soutenue;;28-09-2012;fr;2012BOR30039;oui;20-03-2013;04-06-2017;
Bogdan Constantin Ibanescu;168657074;Les conditions de la mise en tourisme d'un espace rural périphérique de l'Union européenne : la province de Moldavie en Roumanie;Isabelle Sacareau,Corneliu Iaţu;Sacareau Isabelle,Iaţu Corneliu;035187824,067112293;Bordeaux 3;027548392;Géographie humaine;soutenue;;16-11-2012;fr;2012BOR30043;oui;12-04-2013;04-06-2017;
Alexandre Poiraud;172080118;Les glissements de terrain dans le bassin tertiaire volcanisé du Puy-en-Velay (Massif central, France) : caractérisation, facteurs de contrôle et cartographie de l’aléa;Jean-Luc Peiry,Emmanuelle Defive;Peiry Jean-Luc,Defive Emmanuelle;034084622,118705601;Clermont-Ferrand 2;026403102;Doctorat Géographie;soutenue;;28-09-2012;fr;2012CLF20014;oui;04-10-2013;15-12-2015;
Susanne Ettinger;180477099;Geomorphological impact of lahars on the southwestern flank of Cotopaxi volcano, Ecuador : drainage system and alluvial fan;Jean-Luc Peiry;Peiry Jean-Luc;034084622;Clermont-Ferrand 2;026403102;Doctorat Géographie;soutenue;;27-09-2012;en;2012CLF20017;non;12-09-2014;17-10-2015;
Frédéric Barbe;077365348;Géographie de la bibliothèque mondiale, les échelles de la littératie;Guy Baudelle;Baudelle Guy;028253965;Rennes 2;054447658;Géographie. Aménagement;soutenue;;29-11-2012;fr;2012REN20044;oui;26-09-2011;19-06-2013;
Djib Faye;174238916;Urbanisation et dynamique des transports "informels" et des mobilités dans les villes secondaires sénégalaises : les cas de Touba, Thiès et Saint Louis;Serge Morin;Morin Serge;05753909X;Bordeaux 3;027548392;Géographie Tropicale;soutenue;;12-02-2013;fr;2013BOR30005;oui;18-02-2014;05-06-2017;
Awa Diouf Ndiaye;177987367;Les femmes et le développement local au Sénégal : le rôle des associations féminines dans le bassin arachidier : l'exemple de Diourbel;Serge Morin;Morin Serge;05753909X;Bordeaux 3;027548392;Géographie Tropicale;soutenue;;02-07-2013;fr;2013BOR30026;oui;26-09-2011;27-05-2016;
Jean-Louis Sanka;180072617;Frontières, politiques, dynamiques territoriales et environnement en Afrique de l'Ouest : le cas des Rivières du Sud : Gambie, Casamance (Sénégal), Guinée Bissau, Guinée Conakry;Denis Retaillé;Retaillé Denis;031398103;Bordeaux 3;027548392;Géographie humaine;soutenue;;24-06-2013;fr;2013BOR30045;non;26-09-2011;10-06-2017;
Daniel Iosif;176601783;Les Géosites des Gorges du Danube en Roumanie : inventaire, évaluation, valorisation;Eric Fouache,Florina Grecu;Fouache Eric,Grecu Florina;051645548,143464485;Paris 10;026403587;Géographie physique;soutenue;;17-01-2014;fr;2014PA100005;non;26-09-2011;05-09-2014;
Najet Kasdallah;180006002;Dynamiques d'urbanisation des villes intermédiaires au Maghreb (Algérie, Maroc,Tunisie) : Effet chef-lieu et perspectives de développement.;Sid-Ahmed Souiah;Souiah Sid-Ahmed;073750174;Cergy-Pontoise;03463486X;Géographie - Cergy;soutenue;;18-12-2013;fr;2013CERG0681;oui;15-05-2013;26-08-2014;
Elise Garcia;176516786;L'action internationale des collectivités territoriales : un outil de développement des territoires français?;Sid-Ahmed Souiah,Elisabeth Auclair;Souiah Sid-Ahmed,Auclair Elisabeth;073750174,032125739;Cergy-Pontoise;03463486X;Géographie - Cergy;soutenue;;19-12-2013;fr;2013CERG0652;oui;25-02-2014;25-02-2014;
Benjamin Lans;186411472;Genèse des systèmes karstiques de Gironde (Entre-deux-mers et Graves) : role de la "fantômisation" et du potentiel hydrodynamique dans les calcaires oligocènes, crétacés et miocènes;René-Simon Pomel;Pomel René-Simon;031513980;Bordeaux 3;027548392;Géographie physique;soutenue;;02-07-2014;fr;2014BOR30058;non;26-09-2011;11-06-2017;
Damien Plaza;186385331;Territoires et identités du football amateur en Aquitaine;Jean-Pierre Augustin;Augustin Jean-Pierre;026696509;Bordeaux 3;027548392;Géographie humaine;soutenue;;12-06-2014;fr;2014BOR30053;non;26-09-2011;11-06-2017;
Hubert Ngoumou Mbarga;183509161;L'action collective locale et la gestion des forêts communautaires : cas des communautés rurales de Djoum au Sud Cameroun;Bénédicte Thibaud;Thibaud Bénédicte;131268473;Bordeaux 3;027548392;Géographie humaine;soutenue;;02-04-2014;fr;2014BOR30012;oui;26-09-2011;27-05-2016;
Zamblé Armand Tra Bi;183940970;Etude de l'impact des activités anthropiques et de la variabilité climatique sur la végétation et les usages des sols, par utilisation de la télédétection et des statistiques agricoles, sur le bassin versant du Bouregreg (MAROC).;Yao Télesphore Brou,Jean Tape Bidi;Brou Yao Télesphore,Tape Bidi Jean;096129026,152620435;Artois;034634894;Géographie physique;soutenue;;20-06-2013;fr;2013ARTO0008;oui;26-09-2011;25-05-2016;
Safi-Eddine Mourad Belili;180022970;Les investissements arabes du Golfe Persique dans les capitales du Maghreb;Sid-Ahmed Souiah;Souiah Sid-Ahmed;073750174;Cergy-Pontoise;03463486X;Géographie - Cergy;soutenue;;23-06-2014;fr;2014CERG0689;oui;15-05-2013;27-08-2014;
Nouvou Berte;175379696;La Question foncière et immobilière en Afrique subsaharienne : le cas de l'Adressage de la ville de San-Pedro (Sud-ouest de la Côte d'Ivoire);Sid-Ahmed Souiah,Lazare Atta Koffi;Souiah Sid-Ahmed,Atta Koffi Lazare;073750174,142999210;Cergy-Pontoise;03463486X;Géographie - Cergy;soutenue;;27-09-2013;fr;2013CERG0641;non;15-05-2013;25-05-2016;
Daniel Capron;183328876;L’appropriation citadine d’une ville nouvelle par une société nouvelle : l’exemple de Chandigarh en Inde du Nord;Pascale Philifert,Pascale Philifert;Philifert Pascale,Philifert Pascale;131785850,131785850;Paris 10;026403587;Géographie, urbanisme;soutenue;;02-12-2014;fr;2014PA100141;oui;26-09-2011;02-02-2015;
Edith Maruéjouls-Benoit;18400781X;Mixité, égalité et genre dans les espaces du loisir des jeunes : pertinence d'un paradigme féministe;Guy Di Méo;Di Méo Guy;028300858;Bordeaux 3;027548392;Géographie humaine;soutenue;;23-10-2014;fr;2014BOR30024;oui;26-09-2011;27-05-2016;
Olivier Marcel;161279341;Des horizons à la trace : géographie des mobilités de l'art à Nairobi;Bernard Calas;Calas Bernard;033789185;Bordeaux 3;027548392;Géographie humaine;soutenue;;11-07-2014;fr;2014BOR30061;non;26-09-2011;11-06-2017;
Hilaire Katalayi Mutombo;185344380;Urbanisation et fabrique urbaine à Kinshasa : défis et opportunités d'aménagement;Jean-Claude Bruneau,Bernard Calas;Bruneau Jean-Claude,Calas Bernard;026756471,033789185;Bordeaux 3;027548392;Géographie humaine;soutenue;;02-10-2014;fr;2014BOR30036;oui;09-02-2012;27-05-2016;
Abdelghani Nakhli;188792996;La mobilité urbaine à Marrakech : enjeux et perspectives;François Bart;Bart François;032076614;Bordeaux 3;027548392;Géographie humaine;soutenue;;24-03-2015;fr;2015BOR30007;oui;26-09-2011;11-06-2017;
Emilie Crémin;186039921;Entre mobilité et sédentarité : les Mising, "peuple du fleuve", face à l'endiguement du Brahmapoutre (Assam, Inde du Nord-Est);Joëlle Smadja,Annick Holle;Smadja Joëlle,Holle Annick;056836376,068938918;Paris 8;026403552;Geographie humaine;soutenue;;09-12-2014;fr;2014PA080018;oui;26-05-2014;04-10-2016;
Mahaman Moustapha Mamadou Koné;196305551;Marchands ouest-africains et marchés frontaliers : construction d'une communauté d'affaires;Denis Retaillé,Amadou Boureima;Retaillé Denis,Boureima Amadou;031398103,136823289;Bordeaux 3;027548392;Géographie humaine;soutenue;;05-10-2015;fr;2015BOR30075;oui;01-03-2012;16-06-2017;
Noëlvia Sedoarisoa;188936327;Les Impacts des nuisances sonores aériennes : dépréciation immobilière et inégalité sociale? Cas des aéroports de Paris Charles-de-Gaulle,Paris-Orly, Paris-le-Bourget, Lyon Sain-Exupéry et Toulouse-Blagnac;Didier Desponds,Pierre Zembri;Desponds Didier,Zembri Pierre;079586546,033937680;Cergy-Pontoise;03463486X;Géographie - Cergy;soutenue;;29-09-2015;fr;2015CERG0747;oui;15-05-2013;19-10-2015;
Aurélie Bousquet;194902242;Cartographie et participation : vers une pluralisation des sources de connaissance : application à la Trame Verte et Bleue dans le bocage bressuirais;Laurent Couderchet;Couderchet Laurent;077709071;Bordeaux 3;027548392;Géographie humaine;soutenue;;11-04-2016;fr;2016BOR30011;non;26-09-2011;19-06-2017;
